Month,Year,Housing_Affordability_Index
March,2019,152.7
February,2019,156.6
January,2019,154.6
December,2018,147.4
November,2018,144.3
October,2018,147.1
September,2018,147.5
August,2018,142.3
July,2018,140.3
June,2018,137.7
May,2018,142.4
April,2018,147.3
March,2018,152.5
February,2018,161.5
January,2018,164.5
December,2017,161.2
November,2017,161
October,2017,162.7
September,2017,160.1
August,2017,153.9
July,2017,151.2
June,2017,147.8
May,2017,157.2
April,2017,159.8
March,2017,161.7
February,2017,164
January,2017,164.8
December,2016,163.8
November,2016,169.1
October,2016,171.1
September,2016,169.8
August,2016,163.7
July,2016,160.6
June,2016,155.8
May,2016,161.8
April,2016,166.1
March,2016,172.3
February,2016,175.9
January,2016,173.5
December,2015,165.1
November,2015,169.9
October,2015,169.4
September,2015,165.9
August,2015,160
July,2015,154.5
June,2015,154.8
May,2015,161.2
April,2015,167.5
March,2015,173.4
February,2015,181.3
January,2015,182.8
December,2014,171
November,2014,171.9
October,2014,168.6
September,2014,168.3
August,2014,160.2
July,2014,155.4
June,2014,155.2
May,2014,161.2
April,2014,168.6
March,2014,172.3
February,2014,176.7
January,2014,175.7
December,2013,170.6
November,2013,173.3
October,2013,168.7
September,2013,167.4
August,2013,158
July,2013,160.7
June,2013,168.5
May,2013,179.3
April,2013,187
March,2013,195.3
February,2013,209.8
January,2013,175.1
December,2012,204.4
November,2012,203
October,2012,203.7
September,2012,198.4
August,2012,190.8
July,2012,183.4
June,2012,181.5
May,2012,188.4
April,2012,192.3
March,2012,204.5
February,2012,210
January,2012,207.9
December,2011,200.2
November,2011,196.7
October,2011,200.8
September,2011,191
August,2011,180.5
July,2011,178
June,2011,172.4
May,2011,176.5
April,2011,184.4
March,2011,184.1
February,2011,189.8
January,2011,189.7
December,2010,179.1
November,2010,183.8
October,2010,181.4
September,2010,179
August,2010,171.8
July,2010,164.4
June,2010,161.7
May,2010,168.7
April,2010,170.4
March,2010,173.8
February,2010,178.5
January,2010,179.5
December,2009,178.9
November,2009,175.3
October,2009,170.8
September,2009,164.1
August,2009,161.6
July,2009,156.5
June,2009,160.8
May,2009,171.1
April,2009,177.6
March,2009,168.5
February,2009,171.3
January,2009,176.1
December,2008,162.9
November,2008,148.8
October,2008,145.2
September,2008,142.3
August,2008,129.7
July,2008,125.7
June,2008,126.1
May,2008,132.5
April,2008,137.1
March,2008,137.5
February,2008,142.1
January,2008,137.7
December,2007,128.2
November,2007,125
October,2007,124
September,2007,120
August,2007,110
July,2007,107.1
June,2007,108.2
May,2007,113.7
April,2007,115.7
March,2007,116.4
February,2007,117
January,2007,118.8
December,2006,112.1
November,2006,113
October,2006,110.1
September,2006,108.4
August,2006,104.7
July,2006,101
June,2006,102.3
May,2006,103
April,2006,106.5
March,2006,109.5
February,2006,111.8
January,2006,110.2
December,2005,108.3
November,2005,107
October,2005,107.4
September,2005,110.3
August,2005,108.3
July,2005,110.5
June,2005,109.8
May,2005,114.4
April,2005,114.4
March,2005,122.2
February,2005,126.5
January,2005,125.8
December,2004,122
November,2004,123.5
October,2004,124.8
September,2004,123.8
August,2004,121.7
July,2004,118
June,2004,116.1
May,2004,124.2
April,2004,133.7
March,2004,135
February,2004,132.3
January,2004,134.3
December,2003,127.4
November,2003,130.4
October,2003,129.2
September,2003,127
August,2003,128.5
July,2003,131.7
June,2003,132
May,2003,135
April,2003,136.1
March,2003,136.6
February,2003,137.1
January,2003,135.8
December,2002,129.6
November,2002,131.4
October,2002,131.9
September,2002,130.4
August,2002,127.9
July,2002,123.4
June,2002,120.4
May,2002,125.4
April,2002,126.2
March,2002,128.3
February,2002,130.1
January,2002,129.1
December,2001,127.3
November,2001,134.9
October,2001,134.8
September,2001,129.7
August,2001,124.7
July,2001,123.4
June,2001,122.9
May,2001,128.6
April,2001,132.3
March,2001,131.6
February,2001,135.2
January,2001,134.7
December,2000,126.4
November,2000,125
October,2000,124.6
September,2000,120.3
August,2000,119.3
July,2000,117
June,2000,118.4
May,2000,121
April,2000,124.1
March,2000,125.1
February,2000,126.6
January,2000,126
December,1999,129.6
November,1999,129.7
October,1999,129.8
September,1999,126.9
August,1999,126.5
July,1999,127.6
June,1999,128.8
May,1999,134.4
April,1999,137.1
March,1999,138.3
February,1999,140.8
January,1999,138.4
December,1998,138.3
November,1998,137.2
October,1998,138.5
September,1998,134.6
August,1998,132.8
July,1998,129.9
June,1998,129.2
May,1998,130.3
April,1998,134.2
March,1998,135.1
February,1998,137.3
January,1998,134.1
December,1997,130.4
November,1997,130.9
October,1997,130
September,1997,126.5
August,1997,125.3
July,1997,124.7
June,1997,121.9
May,1997,123.8
April,1997,126.7
March,1997,128.8
February,1997,131.8
January,1997,128.6
December,1996,129
November,1996,128.8
October,1996,127.7
September,1996,124.3
August,1996,122.4
July,1996,120
June,1996,119.5
May,1996,123.8
April,1996,127.2
March,1996,130.9
February,1996,135.4
January,1996,132.1
December,1995,131.6
November,1995,127.8
October,1995,127.3
September,1995,124.4
August,1995,122.7
July,1995,123.5
June,1995,123
May,1995,126
April,1995,127.3
March,1995,126
February,1995,127.8
January,1995,129.3
December,1994,125.4
November,1994,129
October,1994,127.8
September,1994,126.3
August,1994,122.7
July,1994,123
June,1994,123
May,1994,126.3
April,1994,131.8
March,1994,135.3
February,1994,138.6
January,1994,135.4
December,1993,133.6
November,1993,135.3
October,1993,135.7
September,1993,132.2
August,1993,130.5
July,1993,128.8
June,1993,126.4
May,1993,129.8
April,1993,132.4
March,1993,131.7
February,1993,133.4
January,1993,129.6
December,1992,125.7
November,1992,126.7
October,1992,127
September,1992,126.7
August,1992,124.4
July,1992,123.1
June,1992,117.4
May,1992,118
April,1992,118
March,1992,118.5
February,1992,119.9
January,1992,123.1
December,1991,119.3
November,1991,119.4
October,1991,114.3
September,1991,112
August,1991,108.9
July,1991,105.7
June,1991,107.8
May,1991,107.2
April,1991,108.2
March,1991,109.8
February,1991,111.7
January,1991,110.1
December,1990,113.4
November,1990,112
October,1990,111
September,1990,108
August,1990,108.6
July,1990,103.3
June,1990,102.3
May,1990,106.8
April,1990,106.4
March,1990,106.5
February,1990,108.9
January,1990,109.7
December,1989,110
November,1989,106.7
October,1989,107.9
September,1989,106.3
August,1989,105
July,1989,102.8
June,1989,101.7
May,1989,103.3
April,1989,106.5
March,1989,108.1
February,1989,109.6
January,1989,113.1
December,1988,111.5
November,1988,112.5
October,1988,112.3
September,1988,113.5
August,1988,109.3
July,1988,109.9
June,1988,110.5
May,1988,111.5
April,1988,113.3
March,1988,112.4
February,1988,111.9
January,1988,112.6
December,1987,112.7
November,1987,111.7
October,1987,111.6
September,1987,110.8
August,1987,108.9
July,1987,108.4
June,1987,108.2
May,1987,108.8
April,1987,110.1
March,1987,109.6
February,1987,108
January,1987,104.6
December,1986,111.5
November,1986,109.7
October,1986,109.3
September,1986,106.6
August,1986,102.3
July,1986,104.4
June,1986,101
May,1986,100.2
April,1986,101.6
March,1986,99.5
February,1986,100.4
January,1986,99.5
December,1985,99.5
November,1985,98.8
October,1985,97.6
September,1985,97.2
August,1985,94.2
July,1985,93.4
June,1985,91.6
May,1985,90.4
April,1985,90.4
March,1985,89.7
February,1985,88.7
January,1985,87.1
December,1984,87.7
November,1984,86.7
October,1984,85.3
September,1984,85.6
August,1984,84.2
July,1984,84.2
June,1984,86.3
May,1984,87.6
April,1984,88
March,1984,87.2
February,1984,87
January,1984,87.5
December,1983,86.5
November,1983,84.4
October,1983,84.3
September,1983,82.7
August,1983,81.3
July,1983,81.1
June,1983,81
May,1983,82.4
April,1983,82.2
March,1983,80.8
February,1983,79.3
January,1983,78.3
December,1982,76.2
November,1982,74.3
October,1982,71.8
September,1982,69.7
August,1982,66.5
July,1982,66.3
June,1982,65.7
May,1982,64.8
April,1982,65.6
March,1982,66.9
February,1982,66.4
January,1982,65.9
December,1981,64.9
November,1981,64
October,1981,65
September,1981,63.9
August,1981,64.1
July,1981,65.4
June,1981,66.5
May,1981,68.5
April,1981,70.1
March,1981,71.1
February,1981,72.1
January,1981,73.6