CS_Index,period,"West North Central
(SA)","New England

(SA)","East North Central
(SA)","Middle Atlantic
(SA)","Mountain

(SA)","New England

(SA)","Pacific

(SA)","South Atlantic
(SA)","West North Central
(SA)","West South Central
(SA)","USA

(SA)",Housing_Affordability_Index,Market Absorption Rate (%),Value,"Financial obligations ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted"
100.589696698974,2000-January,151.57,127.99,150.48,118.85,165.07,127.99,122.51,133.79,151.57,139.65,137.42,126.0,67.0,4.0,16.532775,5.937883,11.503203,5.56532
101.692479314291,2000-February,152.74,127.91,149.71,118.42,165.48,127.91,121.47,134.19,152.74,139.5,137.26,126.6,78.0,4.1,16.659046,6.043632,11.659941,5.6163099999999995
102.783828812065,2000-March,153.15,129.86,151.06,119.62,166.34,129.86,123.09,134.77,153.15,140.74,138.32,125.1,88.0,4.0,16.659046,6.043632,11.659941,5.6163099999999995
103.996444254038,2000-April,154.52,131.19,151.77,120.61,166.87,131.19,123.86,135.89,154.52,141.43,139.26,124.1,78.0,3.8,16.659046,6.043632,11.659941,5.6163099999999995
105.25281840306299,2000-May,154.98,132.91,152.17,121.02,167.46,132.91,125.02,136.52,154.98,141.9,139.89,121.0,77.0,4.0,16.806757,6.177676,11.836625,5.65895
106.402523807612,2000-June,155.48,134.66,153.24,121.95,168.91,134.66,126.0,137.42,155.48,142.61,140.82,118.4,71.0,4.0,16.806757,6.177676,11.836625,5.65895
107.134019461609,2000-July,156.37,135.47,153.96,122.69,169.37,135.47,127.05,138.13,156.37,143.24,141.58,117.0,76.0,4.0,16.806757,6.177676,11.836625,5.65895
107.86143822743901,2000-August,157.05,136.35,154.33,123.28,169.8,136.35,128.29,138.48,157.05,143.67,142.12,119.3,73.0,4.1,17.057136,6.341257,12.063345,5.722087999999999
108.610140186362,2000-September,157.88,138.07,154.82,124.74,170.23,138.07,129.54,139.46,157.88,144.35,143.03,120.3,70.0,3.9,17.057136,6.341257,12.063345,5.722087999999999
109.486858891926,2000-October,158.82,139.77,155.19,125.29,171.37,139.77,131.03,140.04,158.82,144.89,143.81,124.6,71.0,3.9,17.057136,6.341257,12.063345,5.722087999999999
110.571707485592,2000-November,158.93,140.24,155.76,126.47,172.68,140.24,132.62,140.67,158.93,145.78,144.68,125.0,63.0,3.9,16.532775,5.937883,11.503203,5.56532
111.80087186938101,2000-December,159.7,142.22,156.71,127.37,173.26,142.22,133.76,142.04,159.7,145.67,145.52,126.4,65.0,3.9,16.532775,5.937883,11.503203,5.56532
113.05349773422199,2001-January,161.27,143.73,157.28,127.95,175.12,143.73,135.05,142.88,161.27,146.41,146.49,134.7,72.0,4.2,17.146411999999998,6.447072,12.16099,5.713918
114.126857881259,2001-February,161.69,145.62,157.98,129.27,176.18,145.62,136.58,143.25,161.69,147.73,147.47,135.2,85.0,4.2,17.419544000000002,6.594084,12.383873,5.789789
115.085195751287,2001-March,162.48,146.78,158.5,130.11,176.53,146.78,137.76,144.85,162.48,147.66,148.28,131.6,94.0,4.3,17.419544000000002,6.594084,12.383873,5.789789
115.840550928508,2001-April,164.26,147.96,159.25,130.77,176.85,147.96,138.7,145.56,164.26,148.59,149.11,132.3,84.0,4.4,17.419544000000002,6.594084,12.383873,5.789789
116.30074285312901,2001-May,164.58,150.08,159.8,131.8,178.26,150.08,139.55,146.05,164.58,148.5,149.81,128.6,80.0,4.3,17.298341,6.5603880000000006,12.323468,5.76308
116.899749967955,2001-June,165.25,151.0,160.32,133.11,178.88,151.0,140.18,146.82,165.25,149.16,150.5,122.9,79.0,4.5,17.298341,6.5603880000000006,12.323468,5.76308
117.49660114785499,2001-July,166.29,152.58,160.82,134.03,178.99,152.58,141.16,148.11,166.29,150.02,151.38,123.4,76.0,4.6,17.298341,6.5603880000000006,12.323468,5.76308
118.24522909662201,2001-August,166.55,154.75,161.34,135.53,179.75,154.75,142.14,148.89,166.55,149.62,152.1,124.7,74.0,4.9,17.701544000000002,6.712232000000001,12.622859,5.910627
119.027952923142,2001-September,167.59,155.31,162.05,136.44,179.56,155.31,143.55,149.27,167.59,150.73,152.88,129.7,66.0,5.0,17.701544000000002,6.712232000000001,12.622859,5.910627
119.694048519856,2001-October,168.7,156.49,163.08,137.3,180.54,156.49,144.25,150.54,168.7,151.12,153.82,134.8,66.0,5.3,17.701544000000002,6.712232000000001,12.622859,5.910627
120.274743532503,2001-November,168.55,157.45,163.19,138.77,181.83,157.45,144.96,150.93,168.55,151.06,154.29,134.9,67.0,5.5,17.146411999999998,6.447072,12.16099,5.713918
120.672264238783,2001-December,170.04,159.71,163.8,139.18,182.41,159.71,146.66,152.22,170.04,151.72,155.29,127.3,66.0,5.7,17.146411999999998,6.447072,12.16099,5.713918
121.360320819152,2002-January,170.54,161.21,164.64,140.54,183.14,161.21,148.15,153.13,170.54,151.66,156.19,129.1,66.0,5.7,17.40731,6.616855999999999,12.416701,5.7998449999999995
122.19082092305,2002-February,170.84,163.26,165.06,141.67,184.31,163.26,149.41,154.55,170.84,152.54,157.1,130.1,84.0,5.7,17.275861,6.5662139999999996,12.336371,5.770156
123.321470124759,2002-March,171.99,163.42,165.83,143.25,184.66,163.42,151.11,155.0,171.99,153.47,158.11,128.3,90.0,5.7,17.275861,6.5662139999999996,12.336371,5.770156
124.507760706156,2002-April,172.76,166.37,166.14,144.62,185.47,166.37,152.58,156.08,172.76,153.51,158.97,126.2,86.0,5.9,17.275861,6.5662139999999996,12.336371,5.770156
125.92446594751101,2002-May,173.44,167.85,166.7,146.33,186.0,167.85,154.81,157.15,173.44,154.11,160.05,125.4,88.0,5.8,17.304962,6.559252000000001,12.377253999999999,5.818003
127.38847361594999,2002-June,174.48,170.29,167.53,147.21,186.34,170.29,156.78,158.06,174.48,154.46,161.03,120.4,84.0,5.8,17.304962,6.559252000000001,12.377253999999999,5.818003
128.879586646824,2002-July,174.93,173.09,167.95,148.83,187.33,173.09,158.92,159.05,174.93,154.72,162.07,123.4,82.0,5.8,17.304962,6.559252000000001,12.377253999999999,5.818003
130.307277309221,2002-August,175.97,174.02,168.51,150.44,189.0,174.02,160.66,159.8,175.97,154.96,163.09,127.9,90.0,5.7,17.225365,6.502516,12.346926,5.844409
131.526921334076,2002-September,176.76,175.59,169.32,151.65,189.07,175.59,162.0,161.6,176.76,155.72,164.12,130.4,82.0,5.7,17.225365,6.502516,12.346926,5.844409
132.84663367872102,2002-October,177.51,177.43,169.69,153.18,190.83,177.43,164.35,162.47,177.51,156.24,165.26,131.9,77.0,5.7,17.225365,6.502516,12.346926,5.844409
134.096970036912,2002-November,178.3,179.39,170.99,154.03,191.36,179.39,165.5,163.49,178.3,156.67,166.2,131.4,73.0,5.9,17.40731,6.616855999999999,12.416701,5.7998449999999995
135.405266340119,2002-December,179.91,180.47,171.21,156.41,192.94,180.47,167.19,164.9,179.91,157.41,167.42,129.6,70.0,6.0,17.40731,6.616855999999999,12.416701,5.7998449999999995
136.466802057397,2003-January,180.82,182.34,172.42,157.29,193.54,182.34,169.54,165.42,180.82,158.02,168.44,135.8,76.0,5.8,17.1778,6.47561,12.345874,5.870264
137.452827180569,2003-February,181.25,183.1,172.66,159.25,194.27,183.1,171.26,166.97,181.25,158.28,169.52,137.1,82.0,5.9,17.05658,6.4393139999999995,12.286494,5.847180000000001
138.378810168233,2003-March,182.14,184.05,173.03,159.78,195.17,184.05,172.52,167.64,182.14,158.23,170.07,136.6,98.0,5.9,17.05658,6.4393139999999995,12.286494,5.847180000000001
139.250037320152,2003-April,182.3,186.44,173.69,161.27,196.25,186.44,174.73,168.68,182.3,158.5,171.13,136.1,91.0,6.0,17.05658,6.4393139999999995,12.286494,5.847180000000001
140.14698719367598,2003-May,182.89,186.95,174.44,162.78,196.85,186.95,176.14,169.85,182.89,159.09,172.06,135.0,101.0,6.1,16.821154999999997,6.356223,12.138471000000001,5.782248
140.919713035376,2003-June,183.81,188.58,174.81,163.5,197.74,188.58,177.29,171.15,183.81,159.12,172.86,132.0,107.0,6.3,16.821154999999997,6.356223,12.138471000000001,5.782248
142.11887769485202,2003-July,184.79,189.3,175.62,164.93,199.5,189.3,179.84,172.74,184.79,159.76,174.16,131.7,99.0,6.2,16.821154999999997,6.356223,12.138471000000001,5.782248
143.551841523116,2003-August,185.9,191.73,176.42,167.08,200.24,191.73,182.72,173.27,185.9,160.47,175.42,128.5,105.0,6.1,16.90107,6.371129,12.21467,5.843541
145.26127944447398,2003-September,186.97,194.73,177.0,168.97,202.44,194.73,185.16,174.63,186.97,161.33,176.86,127.0,90.0,6.1,16.90107,6.371129,12.21467,5.843541
146.990469091218,2003-October,187.44,196.13,177.87,169.68,203.32,196.13,188.69,175.96,187.44,160.97,177.92,129.2,88.0,6.0,16.90107,6.371129,12.21467,5.843541
148.822939630222,2003-November,189.01,198.56,178.59,171.19,204.45,198.56,191.51,177.64,189.01,161.59,179.27,130.4,76.0,5.8,17.1778,6.47561,12.345874,5.870264
150.758996442435,2003-December,189.06,200.83,179.63,173.54,206.76,200.83,194.51,178.86,189.06,162.57,180.8,127.4,75.0,5.7,17.1778,6.47561,12.345874,5.870264
152.62510699025896,2004-January,190.71,201.61,179.27,174.31,209.37,201.61,197.8,180.89,190.71,162.49,182.02,134.3,89.0,5.7,16.882206,6.363511,12.210135000000001,5.846623999999999
154.53652047276302,2004-February,191.31,202.92,180.81,177.02,210.0,202.92,199.36,181.88,191.31,163.37,183.35,132.3,102.0,5.6,16.778077,6.29376,12.132028,5.838269
156.918184819939,2004-March,192.02,203.78,181.17,177.15,211.65,203.78,203.49,183.8,192.02,164.55,184.64,135.0,123.0,5.8,16.778077,6.29376,12.132028,5.838269
159.35958453318898,2004-April,192.19,206.42,181.72,179.98,215.21,206.42,206.18,185.6,192.19,164.92,186.19,133.7,109.0,5.6,16.778077,6.29376,12.132028,5.838269
161.751120911238,2004-May,194.01,208.37,182.45,181.81,216.33,208.37,211.25,187.92,194.01,165.15,187.99,124.2,115.0,5.6,16.897298000000003,6.315073,12.244783,5.929711
164.305450969794,2004-June,194.54,211.01,183.22,183.78,219.97,211.01,216.05,189.65,194.54,166.05,189.9,116.1,105.0,5.6,16.897298000000003,6.315073,12.244783,5.929711
166.387185555542,2004-July,195.15,213.08,183.96,185.2,222.25,213.08,219.99,192.12,195.15,166.07,191.49,118.0,96.0,5.5,16.897298000000003,6.315073,12.244783,5.929711
168.071587413446,2004-August,196.23,214.6,184.56,186.34,223.68,214.6,222.84,194.21,196.23,166.76,192.83,121.7,102.0,5.4,16.846792999999998,6.237724,12.237217999999999,5.999495
169.65433092437002,2004-September,196.84,216.91,184.78,187.65,227.68,216.91,226.16,196.17,196.84,167.68,194.34,123.8,94.0,5.4,16.846792999999998,6.237724,12.237217999999999,5.999495
171.297042910077,2004-October,197.83,218.15,185.72,190.65,228.33,218.15,229.1,198.19,197.83,167.78,195.79,124.8,101.0,5.5,16.846792999999998,6.237724,12.237217999999999,5.999495
173.086939287604,2004-November,199.31,218.37,186.56,192.35,231.47,218.37,233.55,199.94,199.31,169.3,197.56,123.5,84.0,5.4,16.882206,6.363511,12.210135000000001,5.846623999999999
175.086155868844,2004-December,199.35,220.89,186.97,194.36,233.74,220.89,237.85,202.43,199.35,169.43,199.29,122.0,83.0,5.4,16.882206,6.363511,12.210135000000001,5.846623999999999
177.54612406266997,2005-January,200.03,222.53,187.82,195.72,236.59,222.53,239.97,205.06,200.03,170.38,200.77,125.8,92.0,5.3,17.258015,6.316694999999999,12.558832,6.2421370000000005
180.249458173457,2005-February,200.99,225.29,187.18,196.04,241.24,225.29,243.69,206.9,200.99,171.2,202.17,126.5,109.0,5.4,17.253729999999997,6.266733,12.560029,6.293295
183.18786409654098,2005-March,201.75,225.54,188.75,198.2,243.79,225.54,248.62,210.11,201.75,171.9,204.3,122.2,127.0,5.2,17.253729999999997,6.266733,12.560029,6.293295
185.514582356726,2005-April,203.51,227.12,189.49,200.18,248.22,227.12,252.27,211.96,203.51,172.58,206.03,114.4,116.0,5.2,17.253729999999997,6.266733,12.560029,6.293295
187.54965754535198,2005-May,203.82,229.58,189.53,200.56,252.2,229.58,256.77,214.87,203.82,173.55,207.69,114.4,120.0,5.1,17.316663000000002,6.199858,12.620985000000001,6.421126999999999
189.53032062497,2005-June,204.56,228.97,190.02,203.2,255.08,228.97,259.89,218.41,204.56,174.66,209.51,109.8,115.0,5.0,17.316663000000002,6.199858,12.620985000000001,6.421126999999999
191.37931770061797,2005-July,205.19,230.67,190.55,206.89,258.39,230.67,263.94,220.78,205.19,175.87,211.53,110.5,117.0,5.0,17.316663000000002,6.199858,12.620985000000001,6.421126999999999
193.367562500858,2005-August,205.86,231.22,190.72,207.78,262.68,231.22,268.42,223.59,205.86,176.07,213.11,108.3,110.0,4.9,17.263922,6.103464,12.591395,6.487932
195.620163009478,2005-September,206.65,233.34,192.16,209.89,266.88,233.34,272.7,225.54,206.65,177.52,215.14,110.3,99.0,5.0,17.263922,6.103464,12.591395,6.487932
197.88303170587105,2005-October,207.72,232.94,192.5,210.34,269.72,232.94,273.7,227.27,207.72,179.35,216.29,107.4,105.0,5.0,17.263922,6.103464,12.591395,6.487932
200.14835177600398,2005-November,208.43,233.96,192.7,212.17,272.43,233.96,274.84,230.07,208.43,180.18,217.71,107.0,86.0,5.0,17.258015,6.316694999999999,12.558832,6.2421370000000005
202.177305333203,2005-December,209.58,231.74,192.82,212.67,274.96,231.74,278.5,232.03,209.58,181.39,218.98,108.3,87.0,4.9,17.258015,6.316694999999999,12.558832,6.2421370000000005
203.771465229212,2006-January,210.58,233.45,193.35,214.45,277.43,233.45,279.28,234.43,210.58,182.75,220.46,110.2,89.0,4.7,17.248804999999997,6.085246,12.608604,6.523358
205.36299960764703,2006-February,210.73,233.95,193.25,213.97,279.55,233.95,281.35,234.07,210.73,184.0,220.9,111.8,88.0,4.8,17.365009,5.979412,12.683121,6.703709
206.146277532849,2006-March,211.17,233.43,193.12,215.69,281.7,233.43,281.52,235.95,211.17,184.31,221.73,109.5,108.0,4.7,17.365009,5.979412,12.683121,6.703709
206.655904103739,2006-April,211.29,232.64,194.08,216.19,281.52,232.64,281.55,236.74,211.29,184.4,222.14,106.5,100.0,4.7,17.365009,5.979412,12.683121,6.703709
206.509585706927,2006-May,211.71,232.91,193.77,216.46,283.95,232.91,281.92,237.11,211.71,186.37,222.79,103.0,102.0,4.6,17.524954,5.934518,12.787825999999999,6.853308
205.807434313017,2006-June,211.82,232.12,193.16,216.84,284.56,232.12,281.05,237.24,211.82,186.63,222.7,102.3,98.0,4.6,17.524954,5.934518,12.787825999999999,6.853308
204.93651474190705,2006-July,212.54,231.22,193.49,215.13,284.67,231.22,279.27,237.62,212.54,187.46,222.65,101.0,83.0,4.7,17.524954,5.934518,12.787825999999999,6.853308
204.111962886199,2006-August,212.97,230.54,193.1,216.81,285.84,230.54,279.38,238.79,212.97,188.56,223.28,104.7,88.0,4.7,17.665582999999998,5.919651999999999,12.869705,6.950053
203.585517316204,2006-September,212.56,229.21,193.05,216.36,286.39,229.21,277.96,238.92,212.56,189.61,223.22,108.4,80.0,4.5,17.665582999999998,5.919651999999999,12.869705,6.950053
203.549391980068,2006-October,212.38,228.78,192.71,216.9,289.1,228.78,276.04,240.29,212.38,190.4,223.52,110.1,74.0,4.4,17.665582999999998,5.919651999999999,12.869705,6.950053
203.652885754475,2006-November,213.78,229.14,191.98,217.13,290.75,229.14,276.91,241.23,213.78,191.62,224.14,113.0,71.0,4.5,17.248804999999997,6.085246,12.608604,6.523358
203.47530195479698,2006-December,212.16,228.39,192.88,216.32,291.23,228.39,276.5,241.6,212.16,192.1,224.3,112.1,71.0,4.4,17.248804999999997,6.085246,12.608604,6.523358
203.743068220267,2007-January,213.9,229.03,193.93,217.22,291.3,229.03,277.72,240.77,213.9,193.8,224.99,118.8,66.0,4.6,17.701171,5.904713,12.881422,6.976709
204.07108235383492,2007-February,215.6,227.82,192.87,216.97,290.22,227.82,274.55,243.04,215.6,194.57,225.07,117.0,68.0,4.5,17.824348999999998,5.935517,12.956667,7.02115
203.94828738290198,2007-March,215.51,229.15,192.95,218.73,293.35,229.15,279.75,242.17,215.51,195.07,226.1,116.4,80.0,4.4,17.824348999999998,5.935517,12.956667,7.02115
202.880769101211,2007-April,215.01,229.14,192.42,221.22,292.64,229.14,277.36,242.67,215.01,195.25,226.09,115.7,83.0,4.5,17.824348999999998,5.935517,12.956667,7.02115
201.03339552945096,2007-May,214.87,229.47,191.49,218.84,290.74,229.47,273.64,241.53,214.87,195.92,224.96,113.7,79.0,4.4,17.988772,5.975847,13.076777,7.10093
198.847374294492,2007-June,214.09,226.89,191.23,219.04,291.29,226.89,270.38,240.19,214.09,195.88,224.19,108.2,73.0,4.6,17.988772,5.975847,13.076777,7.10093
196.84456663630903,2007-July,214.52,226.51,189.65,218.43,290.66,226.51,267.56,237.91,214.52,196.58,223.13,107.1,68.0,4.7,17.988772,5.975847,13.076777,7.10093
194.89337151927398,2007-August,213.25,226.91,189.08,217.33,288.56,226.91,261.81,237.76,213.25,197.34,222.06,110.0,60.0,4.6,18.13287,6.008739,13.215389000000002,7.20665
193.124622773835,2007-September,214.65,224.59,187.88,217.18,286.68,224.59,258.42,236.7,214.65,197.49,221.2,120.0,53.0,4.7,18.13287,6.008739,13.215389000000002,7.20665
190.979182046726,2007-October,210.32,224.44,186.63,217.14,282.29,224.44,254.13,235.1,210.32,197.27,219.43,124.0,57.0,4.7,18.13287,6.008739,13.215389000000002,7.20665
187.90462484786,2007-November,211.83,222.96,185.89,216.47,281.49,222.96,248.83,232.12,211.83,197.11,218.0,125.0,45.0,4.7,17.701171,5.904713,12.881422,6.976709
185.09969258686402,2007-December,211.65,223.12,184.58,216.75,276.87,223.12,243.95,231.01,211.65,198.08,216.88,128.2,44.0,5.0,17.701171,5.904713,12.881422,6.976709
182.14041556578,2008-January,210.2,221.37,183.09,215.52,274.3,221.37,239.94,228.93,210.2,197.0,214.87,137.7,44.0,5.0,18.041762,5.9992,13.135627,7.136427
178.551418972528,2008-February,209.17,223.05,183.05,215.44,274.82,223.05,233.23,225.6,209.17,197.4,213.63,142.1,48.0,4.9,17.609219,5.845067,12.792063,6.946996
175.11508136796002,2008-March,209.57,219.17,182.28,214.52,271.8,219.17,226.09,224.65,209.57,196.2,211.79,137.5,49.0,5.1,17.609219,5.845067,12.792063,6.946996
172.442656391208,2008-April,208.44,217.6,180.45,212.95,266.76,217.6,221.2,220.93,208.44,196.17,209.45,137.1,49.0,5.0,17.609219,5.845067,12.792063,6.946996
169.56020891409,2008-May,206.57,215.42,178.72,212.81,264.32,215.42,216.09,216.19,206.57,195.96,207.09,132.5,49.0,5.4,17.811492,5.883005000000001,12.874892,6.991886999999999
167.177833594812,2008-June,206.12,214.7,178.32,210.73,260.65,214.7,212.85,214.55,206.12,196.97,205.83,126.1,45.0,5.6,17.811492,5.883005000000001,12.874892,6.991886999999999
164.399616721124,2008-July,205.37,213.28,177.1,210.14,256.32,213.28,208.41,212.01,205.37,196.54,203.94,125.7,43.0,5.8,17.811492,5.883005000000001,12.874892,6.991886999999999
162.116301218011,2008-August,205.09,211.76,176.15,208.91,252.72,211.76,204.33,208.94,205.09,194.81,201.9,129.7,38.0,6.1,17.870362,5.864502,12.824844,6.960342
159.11395565908,2008-September,203.35,210.31,173.35,209.82,250.66,210.31,200.81,205.26,203.35,197.21,200.19,142.3,35.0,6.1,17.870362,5.864502,12.824844,6.960342
156.295584078248,2008-October,203.32,210.95,173.17,206.36,243.02,210.95,197.83,203.96,203.32,194.73,198.38,145.2,32.0,6.5,17.870362,5.864502,12.824844,6.960342
153.658178390765,2008-November,199.6,207.57,170.19,206.0,239.83,207.57,193.3,198.3,199.6,192.01,194.96,148.8,27.0,6.8,18.041762,5.9992,13.135627,7.136427
150.727242380294,2008-December,201.58,207.47,170.3,203.42,239.95,207.47,192.19,195.46,201.58,193.18,194.3,162.9,26.0,7.3,18.041762,5.9992,13.135627,7.136427
147.716245668781,2009-January,203.32,210.08,173.73,203.95,240.66,210.08,189.66,200.6,203.32,193.92,196.11,176.1,24.0,7.8,17.925393,5.82282,12.754916,6.9320960000000005
145.61430535451998,2009-February,204.77,214.2,172.93,205.15,238.49,214.2,189.81,200.71,204.77,195.42,196.45,171.3,29.0,8.3,17.521656,5.628029,12.367512,6.739483
142.72227989200198,2009-March,201.2,209.53,171.35,204.78,231.73,209.53,187.61,196.61,201.2,194.56,193.99,168.5,31.0,8.7,17.521656,5.628029,12.367512,6.739483
141.560460928351,2009-April,201.8,210.4,169.67,203.52,231.2,210.4,185.6,195.46,201.8,193.61,192.92,177.6,32.0,9.0,17.521656,5.628029,12.367512,6.739483
